fiscal_year,naics4,category,dollars,actions
2022,3112,small_business,250931487.13,547
2022,3112,sdb,68676292.65,109
2022,3112,wosb,18068684.05,71
2022,3112,edwosb,143961.03,10
2022,3112,hubzone,27534043.01,64
2022,3112,vosb,4594561.56,22
2022,3112,woman_owned,18068684.05,71
2022,3113,all,104933838.44,74
2022,3113,small_business,367758.91,8
2022,3113,sdb,38675.00,2
2022,3113,wosb,0.00,1
2022,3113,hubzone,0.00,1
2022,3113,sdvosb,196670.00,4
2022,3113,vosb,196670.00,4
2022,3113,woman_owned,0.00,1
2022,3114,all,1216420489.09,2218
2022,3114,small_business,707017213.63,1573
2022,3114,sdb,126719230.81,389
2022,3114,eight_a,151410.64,3
2022,3114,wosb,45926690.52,161
2022,3114,edwosb,95316.92,8
2022,3114,hubzone,64139505.60,105
2022,3114,sdvosb,34606905.83,126
2022,3114,vosb,39720824.92,134
2022,3114,woman_owned,50214912.60,166
2022,3115,all,604928333.24,22912
2022,3115,small_business,255111860.11,5209
2022,3115,sdb,1557895.03,171
2022,3115,eight_a,293650.08,1
2022,3115,wosb,2701410.82,201
2022,3115,edwosb,45308.75,3
2022,3115,hubzone,47123673.18,114
2022,3115,sdvosb,384417.69,24
2022,3115,vosb,519472.87,38
2022,3115,woman_owned,18669478.99,366
2022,3116,all,1121550113.18,1854
2022,3116,small_business,462289434.98,1408
2022,3116,sdb,92598082.60,291
2022,3116,wosb,14967628.64,192
2022,3116,edwosb,722755.85,42
2022,3116,hubzone,34188390.34,29
2022,3116,sdvosb,30684331.20,40
2022,3116,vosb,100371307.12,124
2022,3116,woman_owned,14975155.64,196
2022,3117,all,260114978.31,94
2022,3117,small_business,59941730.58,44
2022,3117,sdb,57349591.10,20
2022,3117,wosb,83176.04,7
2022,3117,edwosb,83176.04,7
2022,3117,woman_owned,83176.04,7
2022,3118,all,1515483476.03,341346
2022,3118,small_business,286265998.82,173887
2022,3118,sdb,111445031.36,32590
2022,3118,wosb,3683493.30,783
2022,3118,edwosb,550936.50,35
2022,3118,hubzone,55127501.66,2510
2022,3118,sdvosb,283956.51,407
2022,3118,vosb,754903.96,446
2022,3118,woman_owned,16114917.83,22556
2022,3119,all,2591352410.28,655517
2022,3119,small_business,1142184851.89,560067
2022,3119,sdb,368129381.26,215134
2022,3119,eight_a,11769487.73,86
2022,3119,wosb,73721898.26,22070
2022,3119,edwosb,4849749.39,367
2022,3119,hubzone,108615542.38,884
2022,3119,sdvosb,8082433.41,103
2022,3119,vosb,19743524.15,221
2022,3119,woman_owned,94277116.18,49895
2022,3121,all,41822595.86,7018
2022,3121,small_business,24576850.46,2476
2022,3121,sdb,8087966.43,645
2022,3121,eight_a,343139.27,11
2022,3121,wosb,1291436.61,274
2022,3121,edwosb,35206.86,7
2022,3121,hubzone,847519.36,8
2022,3121,sdvosb,277953.36,6
2022,3121,vosb,9497994.46,31
2022,3121,woman_owned,3057525.32,754
2022,3131,all,3747138.35,1491
2022,3131,small_business,1559812.24,304
2022,3131,sdb,348350.57,21
2022,3131,eight_a,427.50,3
2022,3131,wosb,355924.29,30
2022,3131,edwosb,43754.78,9
2022,3131,hubzone,141120.23,222
2022,3131,sdvosb,40721.78,6
2022,3131,vosb,37395.86,7
2022,3131,woman_owned,371776.94,32
2022,3132,all,92695335.82,7576
2022,3132,small_business,60876933.92,5785
2022,3132,sdb,22908496.40,928
2022,3132,eight_a,17642415.27,12
2022,3132,wosb,7941490.78,140
2022,3132,edwosb,452471.44,20
2022,3132,hubzone,4590364.62,91
2022,3132,sdvosb,639959.07,37
2022,3132,vosb,2187862.35,77
2022,3132,woman_owned,8843333.23,2210
2022,3133,all,53617228.83,950
2022,3133,small_business,16476909.92,669
2022,3133,sdb,1000665.96,118
2022,3133,eight_a,188110.13,11
2022,3133,wosb,1615523.51,120
2022,3133,edwosb,22778.44,24
2022,3133,hubzone,37829.58,13
2022,3133,sdvosb,184745.12,31
2022,3133,vosb,242580.22,43
2022,3133,woman_owned,1712683.72,145
2022,3141,all,12060866.51,1014
2022,3141,small_business,8999190.93,642
2022,3141,sdb,3199043.63,92
2022,3141,eight_a,524277.75,26
2022,3141,wosb,1737607.55,107
2022,3141,edwosb,472485.83,18
2022,3141,hubzone,1485000.53,58
2022,3141,sdvosb,1842615.36,45
2022,3141,vosb,2584139.46,206
2022,3141,woman_owned,1861085.32,149
2022,3149,all,573251393.37,15499
2022,3149,small_business,250235193.44,7846
2022,3149,sdb,54200679.76,597
2022,3149,eight_a,3769479.27,38
2022,3149,wosb,13243707.67,611
2022,3149,edwosb,5250146.75,96
2022,3149,hubzone,5753207.47,245
2022,3149,sdvosb,51476696.85,310
2022,3149,vosb,53818409.40,1340
2022,3149,woman_owned,16116135.93,789
2022,3151,all,7619708.27,193
2022,3151,small_business,6872239.29,181
2022,3151,sdb,127360.00,5
2022,3151,wosb,121246.60,4
2022,3151,hubzone,89946.00,6
2022,3151,sdvosb,405009.22,38
2022,3151,vosb,411544.22,39
2022,3151,woman_owned,193396.60,6
2022,3152,all,904241650.13,5859
2022,3152,small_business,410825320.66,4080
2022,3152,sdb,160430132.12,1012
2022,3152,eight_a,23896830.49,79
2022,3152,wosb,113682472.35,874
2022,3152,edwosb,26279626.85,130
2022,3152,hubzone,115810920.10,514
2022,3152,sdvosb,50753649.84,317
2022,3152,vosb,60933657.43,603
2022,3152,woman_owned,132288203.07,1411
2022,3159,all,625150126.25,8336
2022,3159,small_business,390969698.73,6621
2022,3159,sdb,76867637.08,995
2022,3159,eight_a,51231609.08,272
2022,3159,wosb,47398790.82,732
2022,3159,edwosb,5938655.28,212
2022,3159,hubzone,44107772.53,301
2022,3159,sdvosb,63496101.11,987
2022,3159,vosb,73907757.81,1222
2022,3159,woman_owned,50234660.15,1035
2022,3161,all,2097825.88,38
2022,3161,small_business,2097825.88,38
2022,3161,sdb,1796000.00,14
2022,3161,wosb,3600.65,1
2022,3161,sdvosb,0.00,1
2022,3161,vosb,0.00,1
2022,3161,woman_owned,8486.93,3
2022,3162,all,101044528.77,1297
2022,3162,small_business,80663929.70,1128
2022,3162,sdb,2328294.26,133
2022,3162,eight_a,42265.71,5
2022,3162,wosb,3279472.32,145
2022,3162,edwosb,77260.44,65
2022,3162,hubzone,300406.00,18
2022,3162,sdvosb,74121.11,13
2022,3162,vosb,520112.80,33
2022,3162,woman_owned,16365111.86,178
2022,3169,all,15470684.27,983
2022,3169,small_business,11486252.35,786
2022,3169,sdb,3339493.95,219
2022,3169,eight_a,337102.30,9
2022,3169,wosb,301148.04,150
2022,3169,edwosb,-70327.64,37
2022,3169,hubzone,51390.96,66
2022,3169,sdvosb,5422539.32,213
2022,3169,vosb,6610971.71,294
2022,3169,woman_owned,301811.04,172
2022,3211,all,7131468.72,299
2022,3211,small_business,6800716.11,276
2022,3211,sdb,1316080.43,56
2022,3211,wosb,1357046.38,36
2022,3211,edwosb,404021.15,10
2022,3211,hubzone,42336.26,4
2022,3211,sdvosb,176151.03,10
2022,3211,vosb,707872.90,31
2022,3211,woman_owned,1411994.26,38
2022,3212,all,36660025.20,1389
2022,3212,small_business,36117396.59,1376
2022,3212,sdb,247283.68,17
2022,3212,wosb,1474171.47,143
2022,3212,edwosb,989740.68,63
2022,3212,hubzone,109760.36,4
2022,3212,sdvosb,11448415.75,355
2022,3212,vosb,13374184.34,510
2022,3212,woman_owned,7296497.58,499
2022,3219,all,454865581.82,17034
2022,3219,small_business,178933427.20,1682
2022,3219,sdb,83921781.03,295
2022,3219,eight_a,12782889.83,62
2022,3219,wosb,75235145.86,185
2022,3219,edwosb,71059452.18,86
2022,3219,hubzone,4157471.93,57
2022,3219,sdvosb,76868072.71,219
2022,3219,vosb,77843251.23,272
2022,3219,woman_owned,75492617.67,198
2022,3221,all,204165840.17,35052
2022,3221,small_business,18299667.10,34879
2022,3221,sdb,2594416.81,772
2022,3221,eight_a,277171.56,204
2022,3221,wosb,12782522.56,32851
2022,3221,edwosb,12417998.84,32605
2022,3221,hubzone,370361.06,28
2022,3221,sdvosb,188566.13,61
2022,3221,vosb,269994.83,68
2022,3221,woman_owned,13648098.93,34334
2022,3222,all,184633370.09,139762
2022,3222,small_business,144420909.29,138998
2022,3222,sdb,28962461.32,12802
2022,3222,eight_a,6722409.32,258
2022,3222,wosb,15446475.28,10473
2022,3222,edwosb,6854074.11,1575
2022,3222,hubzone,5430516.60,232
2022,3222,sdvosb,8671201.03,3496
2022,3222,vosb,20041972.12,5254
2022,3222,woman_owned,16122228.29,10881
2022,3231,all,48242273.36,10238
2022,3231,small_business,22661879.53,3018
2022,3231,sdb,4760569.55,348
2022,3231,eight_a,2126464.43,24
2022,3231,wosb,2119491.95,722
2022,3231,edwosb,885003.91,331
2022,3231,hubzone,100111.91,39
2022,3231,sdvosb,570838.01,36
2022,3231,vosb,1115165.62,426
2022,3231,woman_owned,9102294.03,1020
2022,3241,all,13908443672.70,392119
2022,3241,small_business,2531741768.14,263744
2022,3241,sdb,939120759.09,157585
2022,3241,eight_a,14625873.18,385
2022,3241,wosb,63627287.37,6940
2022,3241,edwosb,8372174.03,264
2022,3241,hubzone,688750881.91,1583
2022,3241,sdvosb,29751891.58,1641
2022,3241,vosb,149894576.01,22800
2022,3241,woman_owned,83855428.24,10405
2022,3251,all,430140645.85,9838
2022,3251,small_business,64240906.02,3168
2022,3251,sdb,21409521.12,1028
2022,3251,eight_a,1440133.83,64
2022,3251,wosb,11625517.18,572
2022,3251,edwosb,1929081.84,156
2022,3251,hubzone,12008387.85,626
2022,3251,sdvosb,21167153.50,884
2022,3251,vosb,24038966.85,1082
2022,3251,woman_owned,13202259.55,648
2022,3252,all,46571475.10,824
2022,3252,small_business,11645025.11,606
2022,3252,sdb,5780551.49,291
2022,3252,eight_a,379122.57,14
2022,3252,wosb,1231054.09,194
2022,3252,edwosb,248196.72,38
2022,3252,hubzone,268901.69,60
2022,3252,sdvosb,249578.92,10
2022,3252,vosb,396364.52,35
2022,3252,woman_owned,1324453.04,202
2022,3253,all,27597819.62,1246
2022,3253,small_business,19435028.79,1136
2022,3253,sdb,1910695.76,61
2022,3253,eight_a,47176.70,6
2022,3253,wosb,81346.34,26
2022,3253,edwosb,14000.00,1
2022,3253,hubzone,14934.92,4
2022,3253,sdvosb,2679468.19,119
2022,3253,vosb,2679468.19,119
2022,3253,woman_owned,9710334.69,835
2022,3254,all,50908393728.73,211602
2022,3254,small_business,4002799791.61,33115
2022,3254,sdb,2029328094.61,1558
2022,3254,eight_a,53464973.18,313
2022,3254,wosb,130939491.10,23757
2022,3254,edwosb,56375984.53,59
2022,3254,hubzone,174299.55,48
2022,3254,sdvosb,32537934.89,1322
2022,3254,vosb,39653980.29,2397
2022,3254,woman_owned,131345164.75,23834
2022,3255,all,76861606.67,30928
2022,3255,small_business,19003855.81,3032
2022,3255,sdb,3792615.43,991
2022,3255,eight_a,72140.32,14
2022,3255,wosb,4586776.38,462
2022,3255,edwosb,250927.02,68
2022,3255,hubzone,165699.98,37
2022,3255,sdvosb,559513.92,46
2022,3255,vosb,2393393.22,338
2022,3255,woman_owned,3503722.60,510
2022,3256,all,21549775.53,20507
2022,3256,small_business,17108317.19,18631
2022,3256,sdb,3610840.29,902
2022,3256,eight_a,-2575.95,8
2022,3256,wosb,5006255.97,2701
2022,3256,edwosb,1111634.11,129
2022,3256,hubzone,261743.53,23
2022,3256,sdvosb,1927025.25,215
2022,3256,vosb,2024831.59,484
2022,3256,woman_owned,5628241.83,3036
2022,3259,all,840039573.29,16104
2022,3259,small_business,131095169.29,12360
2022,3259,sdb,26465320.95,1336
2022,3259,eight_a,1565380.81,93
2022,3259,wosb,11566340.67,753
2022,3259,edwosb,1512814.63,186
2022,3259,hubzone,1811255.69,368
2022,3259,sdvosb,17068219.42,7224
2022,3259,vosb,24082621.32,7806
2022,3259,woman_owned,12274619.87,1103
2022,3261,all,170261389.34,21864
2022,3261,small_business,110598704.67,20695
2022,3261,sdb,16755106.14,4425
2022,3261,eight_a,1921803.76,1417
2022,3261,wosb,19621786.16,7630
2022,3261,edwosb,2085756.83,208
2022,3261,hubzone,4904523.46,1528
2022,3261,sdvosb,12142300.96,284
2022,3261,vosb,13888577.71,546
2022,3261,woman_owned,22867074.66,10971
2022,3262,all,174066507.47,10843
2022,3262,small_business,67143263.38,7328
2022,3262,sdb,14512613.07,1389
2022,3262,eight_a,987964.18,52
2022,3262,wosb,8903410.57,878
2022,3262,edwosb,1567668.21,245
2022,3262,hubzone,2027794.41,100
2022,3262,sdvosb,5334684.52,147
2022,3262,vosb,6748882.55,345
2022,3262,woman_owned,9670649.58,981
2022,3271,all,2077359.28,352
2022,3271,small_business,1520709.20,280
2022,3271,sdb,588213.40,32
2022,3271,eight_a,281148.60,6
2022,3271,wosb,275526.62,27
2022,3271,edwosb,3909.56,8
2022,3271,hubzone,194845.76,53
2022,3271,sdvosb,56301.30,49
2022,3271,vosb,390210.85,61
2022,3271,woman_owned,283654.81,32
2022,3272,all,3831049.25,271
2022,3272,small_business,3013584.39,190
2022,3272,sdb,860328.70,42
2022,3272,wosb,838319.55,37
2022,3272,edwosb,-104.55,5
2022,3272,hubzone,59271.92,2
2022,3272,sdvosb,73880.04,5
2022,3272,vosb,834717.97,19
2022,3272,woman_owned,843527.55,40
2022,3273,all,89618581.76,466
2022,3273,small_business,81547571.42,326
2022,3273,sdb,19103731.61,79
2022,3273,eight_a,183.03,4
2022,3273,wosb,16475023.45,52
2022,3273,edwosb,812292.54,27
2022,3273,hubzone,21220922.43,28
2022,3273,sdvosb,2170631.67,12
2022,3273,vosb,36402803.88,31
2022,3273,woman_owned,16614883.69,63
2022,3274,all,205748.54,27
2022,3274,small_business,208413.35,26
2022,3274,sdb,9822.24,2
2022,3274,eight_a,8840.22,1
2022,3274,hubzone,8840.22,1
2022,3279,all,93688085.55,3048
2022,3279,small_business,89717931.14,2756
2022,3279,sdb,30357993.81,386
2022,3279,eight_a,164605.76,15
2022,3279,wosb,5448861.02,1239
2022,3279,edwosb,628449.62,108
2022,3279,hubzone,448914.57,27
2022,3279,sdvosb,49467925.97,154
2022,3279,vosb,50970196.22,254
2022,3279,woman_owned,5916929.44,1260
2022,3311,all,31618943.41,1244
2022,3311,small_business,29249281.06,1119
2022,3311,sdb,17479287.65,411
2022,3311,eight_a,232051.50,9
2022,3311,wosb,1983802.87,172
2022,3311,edwosb,709477.18,69
2022,3311,hubzone,1464634.18,218
2022,3311,sdvosb,2190440.85,179
2022,3311,vosb,16062924.57,191
2022,3311,woman_owned,2072050.42,175
2022,3312,all,35264669.48,6137
2022,3312,small_business,27055859.68,5799
2022,3312,sdb,9693201.37,660
2022,3312,eight_a,1557952.68,86
2022,3312,wosb,4396983.57,853
2022,3312,edwosb,2803233.86,187
2022,3312,hubzone,5641112.57,961
2022,3312,sdvosb,5768864.88,388
2022,3312,vosb,7451425.68,535
2022,3312,woman_owned,4566593.75,870
2022,3313,all,17928213.28,3876
2022,3313,small_business,14580680.45,3417
2022,3313,sdb,3756797.97,2361
2022,3313,eight_a,575092.00,5
2022,3313,wosb,1692111.79,272
2022,3313,edwosb,341921.46,23
2022,3313,hubzone,2176902.21,127
2022,3313,sdvosb,1152406.60,84
2022,3313,vosb,1417731.37,162
2022,3313,woman_owned,2081101.99,330
2022,3314,all,4176142868.78,3784
2022,3314,small_business,1449123001.55,2667
2022,3314,sdb,4766525.69,644
2022,3314,eight_a,657134.00,21
2022,3314,wosb,1918511.90,247
2022,3314,edwosb,753559.65,83
2022,3314,hubzone,5509315.66,432
2022,3314,sdvosb,3782702.77,274
2022,3314,vosb,4488786.17,399
2022,3314,woman_owned,2600470.93,322
2022,3315,all,24776538.12,690
2022,3315,small_business,9082853.83,592
2022,3315,sdb,867461.07,55
2022,3315,wosb,418224.46,151
